#p:1|Vaquero|{V}|110|10|5|0|-1|-1|-1|-1|-1|
//#p:2|Bandido|{B}|110|10|5|0|-1|-1|-1|-1|-1|
#c:31|Forajido|{F}|102|8|0|¡Manos arriba!|-1|15|
#c:32|Cantinero|{C}|21|1|1|¿Que te sirvo, forastero?|-1|2|

#s:61|Banco|.===========.|I BANK $$ $ I|I ========= I|I    \v\    I|'==========='|0|
#s:62|BovedaBanco|#############|#  $$$$$$$  #|#  $$$$$$$  #|#    ORO    #|#############|0|
#s:81|EntradaMina|#############|#   MINE    #|#    I=I    #|# I=I  \v\  #|#############|0|
#s:82|ProfundidadesMina|*************|* /.\ ./.\  *|* \./ /^/   *|* /.\       *|*************|0|
#s:91|Cementerio|_____________|  _t_   _t_  |  _t_  /^/   |  _t_   _t_  |-------------|0|
#s:101|Ayuntamiento|.===========.|I   MAYOR   I|I I I I I I I|I I_I I_I I I|'==========='|0|
#s:102|Establo|.-----------.|I HORSE (#) I|I   U   U   I|I    (#)    I|'-----------'|0|
#s:103|Casino|.===========.|I  [ 777 ]  I|I   (R/N)   I|I    $$$    I|'==========='|0|
#l:01|Calle_Ayunta|110|101|1|1|
#l:02|Ayunta_Calle|101|110|0|1|
#l:04|Banco_Calle|61|110|1|1|
#l:05|Calle_Comisaria|110|31|2|1|
#l:06|Comisaria_Calle|31|110|3|1|
#l:07|Calle_Cantina|110|21|3|1|
#l:08|Cantina_Calle|21|110|2|1|
#l:09|Ayunta_Establo|101|102|2|1|
#l:10|Establo_Ayunta|102|101|3|1|
#l:11|Ayunta_Tienda|101|41|3|1|
#l:12|Tienda_Ayunta|41|101|2|1|
#l:13|Banco_Casino|61|103|2|1|
#l:14|Casino_Banco|103|61|3|1|
#l:15|Banco_Cementerio|61|91|3|1|
#l:16|Cementerio_Banco|91|61|2|1|
#l:17|Banco_Boveda|61|62|5|0|
#l:18|Boveda_Banco|62|61|4|1|
#l:19|Comisaria_Carcel|31|32|2|0|
#l:20|Carcel_Comisaria|32|31|3|1|
#l:21|Cantina_Habit|21|22|4|1|
#l:22|Habit_Cantina|22|21|5|1|
#l:23|Habit_Tejado|22|23|4|1|
#l:24|Tejado_Habit|23|22|5|1|
#l:25|Cementerio_Mina|91|81|5|1|
#l:26|Mina_Cementerio|81|91|4|1|
#l:27|Mina_Prof|81|82|5|0|
#l:28|Prof_Mina|82|81|4|1|
